gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1317751181	StillImage	image/jpeg	http://n2t.net/ark:/65665/m39b7a093a-a15a-4f43-bbb0-66339114b3b8		00896922.tif	Barcode 00896922	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317748734	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3d3f2f9c9-83be-4ec8-96ce-7162e9e914a2		00896663.tif	Barcode 00896663	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317728506	StillImage	image/jpeg	http://n2t.net/ark:/65665/m39ca28f26-48be-4caf-ae5c-2923dc7f3ce4		00898030.tif	Barcode 00898030	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317718604	StillImage	image/jpeg	http://n2t.net/ark:/65665/m36b9ce652-061a-4534-989c-b33ef387e13c		00896898.tif	Barcode 00896898	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317715342	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3b9548f20-3b07-48c6-aa50-0d1120c47b91		01187957.tif	Barcode 01187957	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317703119	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3007c519a-0122-445a-ae20-0ce04abc9e5c		00897947.tif	Barcode 00897947	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317701079	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3ecd28b76-5f47-40dd-b913-7d9a514da1d1		00897094.tif	Barcode 00897094	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317567664	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3935d775d-3c43-43cc-aeb4-2003abe12158		00896899.tif	Barcode 00896899	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317560698	StillImage	image/jpeg	http://n2t.net/ark:/65665/m38876cd8e-3572-4ff6-a3b0-b232148e9b8f		00896912.tif	Barcode 00896912	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317556903	StillImage	image/jpeg	http://n2t.net/ark:/65665/m31f5583e6-f5fd-4c6e-93b0-1a9d527a8d4e		00897913.tif	Barcode 00897913	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317507399	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3bbf831ff-2cd9-48ac-9443-b132583b75ef		00897097.tif	Barcode 00897097	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317496405	StillImage	image/jpeg	http://n2t.net/ark:/65665/m329ed64f8-7d3f-4f10-86e7-5c5f87724ff4		01187966.tif	Barcode 01187966	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317469919	StillImage	image/jpeg	http://n2t.net/ark:/65665/m38bf7177d-abb2-4a72-b2ad-a358db3f2e1c		00897993.tif	Barcode 00897993	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317365141	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3b6b9da9a-c9d1-46d6-9ea8-a91b5d185dc3		00897992.tif	Barcode 00897992	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317346912	StillImage	image/jpeg	http://n2t.net/ark:/65665/m341be8cb4-17ac-479c-9706-576992f88cf2		00897890.tif	Barcode 00897890	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
